heading[deg],image_fname,frame,latitude[deg],longitude[deg],cam,neighborhood,subfolder
100.704464537136,1598054497585344_right,1598054497585344_right,-7.3010623119058,112.751628756523,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
145.385421969087,1278292633437885_right,1278292633437885_right,-7.30413247439378,112.750083804131,1,,data/mapillary_images_new/VW2hY8wcJ3e4PDUjQivLGd/right
280.575309047771,955773762569954_right,955773762569954_right,-7.30105167005809,112.75365114212,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
292.686169844045,923635203273380_right,923635203273380_right,-7.30323324354323,112.7492415905,1,,data/mapillary_images_new/KEYQ7cuxoq089kXALyJD6R/right
10.4082193560387,459965050269992_right,459965050269992_right,-7.30370148231835,112.749719023705,1,,data/mapillary_images_new/VW2hY8wcJ3e4PDUjQivLGd/right
104.146410741376,1516757255652691_right,1516757255652691_right,-7.30175403146386,112.750480771065,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
294.620077586894,1776107013124567_right,1776107013124567_right,-7.29978528837233,112.750024795532,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
247.214135571212,2298503150519027_right,2298503150519027_right,-7.29939153871409,112.749091386795,1,,data/mapillary_images_new/rLKfngGP2QWN4z7hej1FIu/right
205.166269827882,8710243685751899_right,8710243685751899_right,-7.2993489711627,112.749123573303,1,,data/mapillary_images_new/rLKfngGP2QWN4z7hej1FIu/right
287.234389692667,1785576735593907_right,1785576735593907_right,-7.30411119084425,112.750148177147,1,,data/mapillary_images_new/wmL9oX1AljUsix742F0cZf/right
99.1632792713662,898252438957410_right,898252438957410_right,-7.29868385264619,112.748281359673,1,,data/mapillary_images_new/rLKfngGP2QWN4z7hej1FIu/right
281.726158173754,869856735075436_right,869856735075436_right,-7.30309490017491,112.754037380219,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
253.171848910484,3904599976462901_right,3904599976462901_right,-7.30363763160517,112.750153541565,1,,data/mapillary_images_new/VW2hY8wcJ3e4PDUjQivLGd/right
